condition,x_method,y_method,n_shared_genes,pearson_r,spearman_rho,slope,intercept,plot_png,note
0_vs_0,concatenated,consensus_avg,412,0.6552517339710187,0.7156184071095838,0.4016263654923364,0.009864248622102455,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_0__concatenated__vs__consensus_avg.png,
0_vs_0,concatenated,ancestral_avg,376,0.543709351575282,0.5083774040524675,0.502070089128493,0.01843147169068281,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_0__concatenated__vs__ancestral_avg.png,
0_vs_0,concatenated,PAO1PA14_ref,125,0.3602009472017004,0.5641662928910975,0.20934613265232366,0.04943129575124951,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_0__concatenated__vs__PAO1PA14_ref.png,
0_vs_0,consensus_avg,ancestral_avg,376,0.6232650959688719,0.6201272211988779,0.8320322148597186,0.03747330996148284,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_0__consensus_avg__vs__ancestral_avg.png,
0_vs_0,consensus_avg,PAO1PA14_ref,125,0.45218659101801983,0.6620276497695852,0.49942087215312986,0.047841780454169376,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_0__consensus_avg__vs__PAO1PA14_ref.png,
0_vs_0,ancestral_avg,PAO1PA14_ref,115,0.5053519715057561,0.6357373944606645,0.4406407432760235,0.043101548386142,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_0__ancestral_avg__vs__PAO1PA14_ref.png,
0_vs_1,concatenated,consensus_avg,412,0.7689537432127954,0.8552912861285505,0.41451266754374977,0.03355455903772256,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_1__concatenated__vs__consensus_avg.png,
0_vs_1,concatenated,ancestral_avg,376,0.37701455016979496,0.725726926489124,0.2840933816131598,0.08311111528367472,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_1__concatenated__vs__ancestral_avg.png,
0_vs_1,concatenated,PAO1PA14_ref,125,0.5496208577952891,0.7387703188063092,0.3467867572316096,0.041645906266686364,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_1__concatenated__vs__PAO1PA14_ref.png,
0_vs_1,consensus_avg,ancestral_avg,376,0.45393881740896486,0.7904045174315282,0.610252017379546,0.0641930728855,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_1__consensus_avg__vs__ancestral_avg.png,
0_vs_1,consensus_avg,PAO1PA14_ref,125,0.6828016201334521,0.837069124423963,0.5973934724660694,0.03344170714624406,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_1__consensus_avg__vs__PAO1PA14_ref.png,
0_vs_1,ancestral_avg,PAO1PA14_ref,115,0.3906600617644636,0.7967016491754124,0.2299796016856872,0.05944044625255925,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/0_vs_1__ancestral_avg__vs__PAO1PA14_ref.png,
1_vs_0,concatenated,consensus_avg,409,0.6478782687929652,0.7180826554706717,0.9474655208046359,-0.021223722172928453,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/1_vs_0__concatenated__vs__consensus_avg.png,
1_vs_0,concatenated,ancestral_avg,376,0.6385177159390539,0.4729118332037404,1.0489942014399585,-0.0035644745575852356,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/1_vs_0__concatenated__vs__ancestral_avg.png,
1_vs_0,concatenated,PAO1PA14_ref,123,0.16844340671774952,0.44477979634746473,0.17398597145121872,0.08134269688271863,/storage/home/hcoda1/2/bli629/scratch/three_method_comparison/regression/out_log_v3/plots/1_vs_0__concatenated__vs__PAO1PA14_ref.png,
