VFC_ID,VFDB_lookup_note,VFDB_lookup_status,VFDB_record_url,VFG_ID,VF_category,VF_category_count
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000115,VFG000115,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000116,VFG000116,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000120,VFG000120,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000122,VFG000122,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000123,VFG000123,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000124,VFG000124,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000126,VFG000126,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000127,VFG000127,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000128,VFG000128,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000129,VFG000129,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000131,VFG000131,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000133,VFG000133,,0
,"VFDB page was retrieved, but no VFcategory/VFC link could be parsed.",category_not_found,https://www.mgc.ac.cn/cgi-bin/VFs/gene.cgi?GeneID=VFG000139,VFG000139,,0
