Accession,genome_count_A,genome_count_B,absent_count_A,absent_count_B,total_genomes_A,total_genomes_B,freq_A,freq_B,odds_ratio_A_vs_B,p_value,freq_difference_A_minus_B,absolute_freq_difference,freq_ratio,fdr_bh,significant_fdr,enriched_clade
VFG000147(gb|NP_252530),8561,74,179,2765,8740,2839,0.9795194508009153,0.02606551602676999,1783.283557254976,0,0.9534539347741453,0.9534539347741453,37.579131362483764,0,TRUE,Clade_A
VFG019978(gb|WP_003113791),8561,74,179,2765,8740,2839,0.9795194508009153,0.02606551602676999,1783.283557254976,0,0.9534539347741453,0.9534539347741453,37.579131362483764,0,TRUE,Clade_A
VFG014092(gb|WP_012074004),6849,483,1891,2356,8740,2839,0.7836384439359267,0.17013032758013386,17.661166172014607,0,0.6135081163557929,0.6135081163557929,4.606106712907031,0,TRUE,Clade_A
VFG000184(gb|NP_251795),7951,896,789,1943,8740,2839,0.9097254004576659,0.31560408594575556,21.842874682288535,0,0.5941213145119104,0.5941213145119104,2.8824892989947695,0,TRUE,Clade_A
VFG019785(gb|WP_012613869),3038,57,5702,2782,8740,2839,0.34759725400457664,0.020077492074674182,26.001486774864052,0,0.32751976192990245,0.32751976192990245,17.312782528403385,0,TRUE,Clade_A
VFG019781(gb|WP_012613866),3034,57,5706,2782,8740,2839,0.3471395881006865,0.020077492074674182,25.949049061872596,0,0.32706209602601233,0.32706209602601233,17.289987554699103,0,TRUE,Clade_A
VFG019783(gb|WP_012613867),3034,57,5706,2782,8740,2839,0.3471395881006865,0.020077492074674182,25.949049061872596,0,0.32706209602601233,0.32706209602601233,17.289987554699103,0,TRUE,Clade_A
VFG019786(gb|WP_003122253),3034,57,5706,2782,8740,2839,0.3471395881006865,0.020077492074674182,25.949049061872596,0,0.32706209602601233,0.32706209602601233,17.289987554699103,0,TRUE,Clade_A
VFG019787(gb|WP_003122254),3034,57,5706,2782,8740,2839,0.3471395881006865,0.020077492074674182,25.949049061872596,0,0.32706209602601233,0.32706209602601233,17.289987554699103,0,TRUE,Clade_A
VFG019789(gb|WP_003452706),3034,57,5706,2782,8740,2839,0.3471395881006865,0.020077492074674182,25.949049061872596,0,0.32706209602601233,0.32706209602601233,17.289987554699103,0,TRUE,Clade_A
VFG019782(gb|WP_003163315),3033,58,5707,2781,8740,2839,0.34702517162471397,0.020429728777738642,25.479694493927184,0,0.32659544284697534,0.32659544284697534,16.986283831768326,0,TRUE,Clade_A
VFG019780(gb|WP_014602695),3035,61,5705,2778,8740,2839,0.34725400457665906,0.021486438886932017,24.22513859692408,0,0.32576756568972703,0.32576756568972703,16.16154293431369,0,TRUE,Clade_A
VFG019788(gb|WP_016253165),2904,56,5836,2783,8740,2839,0.3322654462242563,0.019725255371609723,24.726413579676866,0,0.31254019085264656,0.31254019085264656,16.84467146126185,0,TRUE,Clade_A
VFG019784(gb|WP_172668778),2902,57,5838,2782,8740,2839,0.3320366132723112,0.020077492074674182,24.258918359329495,0,0.311959121197637,0.311959121197637,16.537753422457744,0,TRUE,Clade_A
VFG013861(gb|WP_003148775),6815,1192,1925,1647,8740,2839,0.7797482837528604,0.4198661500528355,4.890820837800958,1.5890894735111293e-269,0.3598821337000249,0.3598821337000249,1.8571353838711164,1.1391785163232908e-267,TRUE,Clade_A
VFG014461(gb|WP_003158011),5354,686,3386,2153,8740,2839,0.6125858123569794,0.2416343783022191,4.961929190105124,3.209115376874061e-267,0.3709514340547603,0.3709514340547603,2.535176561634788,2.2308214165300292e-265,TRUE,Clade_A
VFG051804(gb|WP_011979145.1),8275,1943,465,896,8740,2839,0.9467963386727689,0.6843959140542445,8.203541309672502,6.24852915837636e-265,0.2624004246185244,0.2624004246185244,1.3834044289716885,4.215919379210403e-263,TRUE,Clade_A
VFG019926(gb|WP_003099228),7803,1701,937,1138,8740,2839,0.89279176201373,0.5991546319126453,5.570292646613917,1.8746379346570822e-243,0.2936371301010847,0.2936371301010847,1.4900857215502525,1.2286912634580991e-241,TRUE,Clade_A
VFG000117(gb|NP_253940),7699,1684,1041,1155,8740,2839,0.8808924485125859,0.5931666079605495,5.071654073516847,1.495787222905486e-225,0.2877258405520363,0.2877258405520363,1.4850674948498996,9.531488581514402e-224,TRUE,Clade_A
VFG014422(gb|WP_012076710),7340,1569,1400,1270,8740,2839,0.8398169336384439,0.5526593871081367,4.243118580720593,7.358179233996513e-200,0.28715754653030723,0.28715754653030723,1.5195922718926336,4.5620711250778375e-198,TRUE,Clade_A
VFG020059(gb|WP_012614137),2381,146,6359,2693,8740,2839,0.27242562929061787,0.05142655864741106,6.9055948306495445,2.508178496657484e-167,0.2209990706432068,0.2209990706432068,5.297372339425097,1.475323454187761e-165,TRUE,Clade_A
VFG019753(gb|WP_003123397),6565,1326,2175,1513,8740,2839,0.7511441647597255,0.46706586826347307,3.4433320837676944,4.053999041149636e-167,0.2840782964962524,0.2840782964962524,1.6082189168573608,2.2142556667612537e-165,TRUE,Clade_A
VFG015015(gb|WP_011666786),7546,1768,1194,1071,8740,2839,0.8633867276887872,0.6227544910179641,3.8278811916832516,6.867457645721631e-157,0.24063223667082312,0.24063223667082312,1.3863998415771872,3.5804426907466867e-155,TRUE,Clade_A
VFG020057(gb|WP_012614138),2275,143,6465,2696,8740,2839,0.2602974828375286,0.05036984853821768,6.633536660452163,3.398478192958955e-156,0.20992763429931094,0.20992763429931094,5.167724152277929,1.7324686610328537e-154,TRUE,Clade_A
VFG020082(gb|WP_025208403),2274,144,6466,2695,8740,2839,0.2601830663615561,0.05072208524128214,6.581115861742208,2.9002416057141205e-155,0.20946098112027395,0.20946098112027395,5.129581426392067,1.44633787902352e-153,TRUE,Clade_A
VFG020065(gb|WP_012614134),2277,145,6463,2694,8740,2839,0.26052631578947366,0.0510743219443466,6.544959899160869,5.173468702682833e-155,0.20945199384512705,0.20945199384512705,5.1009255898366606,2.472486917490504e-153,TRUE,Clade_A
VFG020069(gb|WP_148235954),2285,147,6455,2692,8740,2839,0.261441647597254,0.05177879535047552,6.481808939831209,1.5990116435444594e-154,0.2096628522467785,0.2096628522467785,5.049202976385063,7.33626542058198e-153,TRUE,Clade_A
VFG020070(gb|WP_012614131),2207,138,6533,2701,8740,2839,0.2525171624713959,0.04860866502289538,6.611035535323845,3.621104094599097e-151,0.2039084974485005,0.2039084974485005,5.194900175770239,1.5974639986558324e-149,TRUE,Clade_A
VFG020055(gb|WP_024082546),2277,151,6463,2688,8740,2839,0.26052631578947366,0.05318774216273336,6.270903768455645,5.584607537491042e-151,0.2073385736267403,0.2073385736267403,4.8982398048100375,2.4171867341517828e-149,TRUE,Clade_A
VFG001247(gb|NP_249785),3599,450,5141,2389,8740,2839,0.4117848970251716,0.1585065163790067,3.7161531378020567,2.8557969400289935e-146,0.2532783806461649,0.2532783806461649,2.5979051614543605,1.1698568179333055e-144,TRUE,Clade_A
VFG014319(gb|WP_003140595),3599,450,5141,2389,8740,2839,0.4117848970251716,0.1585065163790067,3.7161531378020567,2.8557969400289935e-146,0.2532783806461649,0.2532783806461649,2.5979051614543605,1.1698568179333055e-144,TRUE,Clade_A
