VFG_ID,alignment_path,alignment_found,analysis_success,error_message,n_sequences_total,n_sequences_usable,proportion_sequences_usable,alignment_length_nt,alignment_length_codons,trailing_non_codon_nt,gap_fraction,ambiguous_fraction,bad_character_fraction,usable_codon_count,usable_codon_fraction
VFG000115,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000115.nogap.dedup/VFG000115.nogap.dedup.nt_ali.fasta,True,True,,11355,0,0.0,3045,1015,0,0.37147481741295796,9.254981240586852e-07,0.37147574291108204,639,0.6295566502463055
VFG000120,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000120.nogap.dedup/VFG000120.nogap.dedup.nt_ali.fasta,True,True,,11608,0,0.0,1440,480,0,0.252145251837813,3.589478520560533e-07,0.25214561078566505,359,0.7479166666666667
VFG000122,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000122.nogap.dedup/VFG000122.nogap.dedup.nt_ali.fasta,True,True,,11617,0,0.0,1956,652,0,0.33373042257195534,1.3642653659848685e-06,0.33373178683732135,437,0.6702453987730062
VFG000123,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000123.nogap.dedup/VFG000123.nogap.dedup.nt_ali.fasta,True,True,,11617,0,0.0,1911,637,0,0.22298980179672268,4.954935536964337e-07,0.22299029729027636,495,0.7770800627943485
VFG000124,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000124.nogap.dedup/VFG000124.nogap.dedup.nt_ali.fasta,True,True,,11617,0,0.0,1890,630,0,0.3809799814448175,4.554536705694492e-07,0.38098043689848804,390,0.6190476190476191
VFG000125,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000125.nogap.dedup/VFG000125.nogap.dedup.nt_ali.fasta,True,True,,11617,0,0.0,2112,704,0,0.32396157766439465,5.706109906850202e-07,0.32396214827538533,476,0.6761363636363636
VFG000126,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000126.nogap.dedup/VFG000126.nogap.dedup.nt_ali.fasta,True,True,,11617,11612,0.9995695962813119,1830,610,0,0.19513305119546398,5.644638933614813e-07,0.19513361565935733,491,0.8049180327868852
VFG000127,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000127.nogap.dedup/VFG000127.nogap.dedup.nt_ali.fasta,True,True,,11617,0,0.0,2376,792,0,0.3134560723008687,1.4854000392435445e-06,0.31345755770090794,544,0.6868686868686869
VFG000128,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000128.nogap.dedup/VFG000128.nogap.dedup.nt_ali.fasta,True,True,,11617,0,0.0,2073,691,0,0.3126268242795534,6.643955136526842e-07,0.31262748867506707,475,0.6874095513748191
VFG000129,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000129.nogap.dedup/VFG000129.nogap.dedup.nt_ali.fasta,True,True,,11617,0,0.0,1533,511,0,0.2798607951401271,8.98429158383571e-07,0.27986169356928553,368,0.7201565557729941
VFG000130,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000130.nogap.dedup/VFG000130.nogap.dedup.nt_ali.fasta,True,True,,11617,0,0.0,2022,674,0,0.2274724522462604,6.385811849972248e-07,0.22747309082744538,521,0.7729970326409495
VFG000131,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000131.nogap.dedup/VFG000131.nogap.dedup.nt_ali.fasta,True,True,,11616,0,0.0,1827,609,0,0.3566803276834625,1.0366389676734504e-06,0.35668136432243014,392,0.6436781609195402
VFG000133,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000133.nogap.dedup/VFG000133.nogap.dedup.nt_ali.fasta,True,True,,11617,11545,0.9938021864508909,1806,602,0,0.19965341776300455,9.056113682253001e-07,0.19965432337437278,482,0.8006644518272426
VFG000144,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000144.nogap.dedup/VFG000144.nogap.dedup.nt_ali.fasta,True,True,,11566,0,0.0,2067,689,0,0.30344709369110756,7.529200120366813e-07,0.3034478466111196,480,0.6966618287373004
VFG000145,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000145.nogap.dedup/VFG000145.nogap.dedup.nt_ali.fasta,True,True,,11572,0,0.0,1824,608,0,0.3111783263139702,1.8003226178131122e-06,0.311180126636588,419,0.6891447368421053
VFG000146,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000146.nogap.dedup/VFG000146.nogap.dedup.nt_ali.fasta,True,True,,11575,0,0.0,2103,701,0,0.28826206314336505,2.875661530529769e-07,0.2882623507095181,499,0.7118402282453637
VFG000148,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000148.nogap.dedup/VFG000148.nogap.dedup.nt_ali.fasta,True,True,,11530,0,0.0,1971,657,0,0.30311819738330686,4.4003180549890144e-07,0.30311863741511236,458,0.6971080669710806
VFG000155,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000155.nogap.dedup/VFG000155.nogap.dedup.nt_ali.fasta,True,True,,11505,0,0.0,1701,567,0,0.24788394279919704,7.664791092286385e-07,0.24788470927830628,427,0.7530864197530864
VFG000157,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000157.nogap.dedup/VFG000157.nogap.dedup.nt_ali.fasta,True,True,,11584,0,0.0,3189,1063,0,0.3124363315540818,5.143284321623537e-07,0.31243684588251397,731,0.6876763875823142
VFG000164,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000164.nogap.dedup/VFG000164.nogap.dedup.nt_ali.fasta,True,True,,11560,0,0.0,3192,1064,0,0.3230977801337253,3.2520748237375446e-07,0.3230981053412077,721,0.6776315789473685
