locus_tag,representative_rank,selected_representative,VFG_ID,Accession,gene,genome_count,freq,n_sequences_total,n_sequences_usable,proportion_sequences_usable,alignment_length_nt,alignment_length_codons,trailing_non_codon_nt,gap_fraction,ambiguous_fraction,bad_character_fraction,usable_codon_count,usable_codon_fraction,protein_length,mapping_method,blast_hit_pident,blast_hit_qcov,blast_hit_evalue,blast_hit_bitscore,alignment_found,analysis_success,error_message,alignment_path,selection_reason
PA0026,1,True,VFG015856,VFG015856(gb|NP_248716),plcB,11100,95.54140127388536,11100,0,0.0,1347,449,0,0.2673171612592548,5.350562143435195e-07,0.26731769631546914,329,0.732739420935412,328,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015856.nogap.dedup/VFG015856.nogap.dedup.nt_ali.fasta,"Selected VFG015856: genome_count=11100, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7327, gap_fraction=0.2673, ambiguous_fraction=0.0000, protein_length=328"
PA0026,2,False,VFG015858,VFG015858(gb|WP_003097316),plcB,11048,95.09381993458426,11048,0,0.0,1347,449,0,0.2673174275766084,5.37574581753536e-07,0.26731796515119016,329,0.732739420935412,328,blastp_best_hit_to_PAO1,99.695,100.0,0.0,678.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015858.nogap.dedup/VFG015858.nogap.dedup.nt_ali.fasta,"Selected VFG015856: genome_count=11100, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7327, gap_fraction=0.2673, ambiguous_fraction=0.0000, protein_length=328"
PA0044,1,True,VFG015168,VFG015168(gb|WP_003136948),exoT,11530,99.2425546565674,11530,0,0.0,1884,628,0,0.2964129852337574,4.603517455617488e-07,0.296413445585503,442,0.7038216560509554,442,blastp_best_hit_to_PAO1,99.548,100.0,0.0,868.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015168.nogap.dedup/VFG015168.nogap.dedup.nt_ali.fasta,"Selected VFG015168: genome_count=11530, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7038, gap_fraction=0.2964, ambiguous_fraction=0.0000, protein_length=442"
PA0044,2,False,VFG000148,VFG000148(gb|NP_248734),exoT,11530,99.2425546565674,11530,0,0.0,1971,657,0,0.30311819738330686,4.4003180549890144e-07,0.30311863741511236,458,0.6971080669710806,457,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000148.nogap.dedup/VFG000148.nogap.dedup.nt_ali.fasta,"Selected VFG015168: genome_count=11530, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7038, gap_fraction=0.2964, ambiguous_fraction=0.0000, protein_length=442"
PA0044,3,False,VFG019979,VFG019979(gb|WP_012613430),exoT,11530,99.2425546565674,11530,0,0.0,1971,657,0,0.30311819738330686,4.4003180549890144e-07,0.30311863741511236,458,0.6971080669710806,457,blastp_best_hit_to_PAO1,99.344,100.0,0.0,895.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG019979.nogap.dedup/VFG019979.nogap.dedup.nt_ali.fasta,"Selected VFG015168: genome_count=11530, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7038, gap_fraction=0.2964, ambiguous_fraction=0.0000, protein_length=442"
PA0051,1,True,VFG015552,VFG015552(gb|WP_003111526),phzH,11490,98.89826131864348,11490,0,0.0,2757,919,0,0.3353928429035609,3.4724491152041816e-07,0.33539319014847246,611,0.6648531011969532,610,blastp_best_hit_to_PAO1,99.672,100.0,0.0,1244.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015552.nogap.dedup/VFG015552.nogap.dedup.nt_ali.fasta,"Selected VFG015552: genome_count=11490, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6649, gap_fraction=0.3354, ambiguous_fraction=0.0000, protein_length=610"
PA0051,2,False,VFG015551,VFG015551(gb|NP_248741),phzH,11490,98.89826131864348,11490,0,0.0,2757,919,0,0.3353929376067186,3.4724491152041816e-07,0.33539328485163017,611,0.6648531011969532,610,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015551.nogap.dedup/VFG015551.nogap.dedup.nt_ali.fasta,"Selected VFG015552: genome_count=11490, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6649, gap_fraction=0.3354, ambiguous_fraction=0.0000, protein_length=610"
PA0051,3,False,VFG020038,VFG020038(gb|WP_012613433),phzH,11490,98.89826131864348,11490,0,0.0,2757,919,0,0.3353929376067186,3.4724491152041816e-07,0.33539328485163017,611,0.6648531011969532,610,blastp_best_hit_to_PAO1,99.836,100.0,0.0,1245.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG020038.nogap.dedup/VFG020038.nogap.dedup.nt_ali.fasta,"Selected VFG015552: genome_count=11490, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6649, gap_fraction=0.3354, ambiguous_fraction=0.0000, protein_length=610"
PA0071,1,True,VFG002057,VFG002057(gb|NP_248761),tagR,11581,99.68152866242038,11581,0,0.0,2484,828,0,0.31125047814865847,4.171416867624674e-07,0.3112508952903452,571,0.6896135265700483,570,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002057.nogap.dedup/VFG002057.nogap.dedup.nt_ali.fasta,"Selected VFG002057: genome_count=11581, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6896, gap_fraction=0.3113, ambiguous_fraction=0.0000, protein_length=570"
PA0071,2,False,VFG015365,VFG015365(gb|WP_011979122),tagR,11581,99.68152866242038,11581,0,0.0,2484,828,0,0.31125047814865847,4.171416867624674e-07,0.3112508952903452,571,0.6896135265700483,570,blastp_best_hit_to_PAO1,98.246,100.0,0.0,1137.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015365.nogap.dedup/VFG015365.nogap.dedup.nt_ali.fasta,"Selected VFG002057: genome_count=11581, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6896, gap_fraction=0.3113, ambiguous_fraction=0.0000, protein_length=570"
PA0071,3,False,VFG015366,VFG015366(gb|WP_003083632),tagR,11581,99.68152866242038,11581,0,0.0,2484,828,0,0.31125047814865847,4.171416867624674e-07,0.3112508952903452,571,0.6896135265700483,570,blastp_best_hit_to_PAO1,99.474,100.0,0.0,1150.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015366.nogap.dedup/VFG015366.nogap.dedup.nt_ali.fasta,"Selected VFG002057: genome_count=11581, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6896, gap_fraction=0.3113, ambiguous_fraction=0.0000, protein_length=570"
PA0071,4,False,VFG019981,VFG019981(gb|WP_003106615),tagR,11581,99.68152866242038,11581,0,0.0,2484,828,0,0.31125047814865847,4.171416867624674e-07,0.3112508952903452,571,0.6896135265700483,570,blastp_best_hit_to_PAO1,100.0,100.0,0.0,1157.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG019981.nogap.dedup/VFG019981.nogap.dedup.nt_ali.fasta,"Selected VFG002057: genome_count=11581, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6896, gap_fraction=0.3113, ambiguous_fraction=0.0000, protein_length=570"
PA0072,1,True,VFG002058,VFG002058(gb|NP_248762),tagS,11579,99.6643139955242,11579,0,0.0,1902,634,0,0.369471764804281,1.271383189535354e-06,0.36947303618747057,400,0.6309148264984227,399,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002058.nogap.dedup/VFG002058.nogap.dedup.nt_ali.fasta,"Selected VFG002058: genome_count=11579, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6309, gap_fraction=0.3695, ambiguous_fraction=0.0000, protein_length=399"
PA0072,2,False,VFG015373,VFG015373(gb|WP_003136958),tagS,11579,99.6643139955242,11579,0,0.0,1902,634,0,0.369471764804281,1.271383189535354e-06,0.36947303618747057,400,0.6309148264984227,399,blastp_best_hit_to_PAO1,99.749,100.0,0.0,765.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015373.nogap.dedup/VFG015373.nogap.dedup.nt_ali.fasta,"Selected VFG002058: genome_count=11579, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6309, gap_fraction=0.3695, ambiguous_fraction=0.0000, protein_length=399"
PA0072,3,False,VFG019983,VFG019983(gb|WP_003083634),tagS,11579,99.6643139955242,11579,0,0.0,1902,634,0,0.369471764804281,1.271383189535354e-06,0.36947303618747057,400,0.6309148264984227,399,blastp_best_hit_to_PAO1,100.0,100.0,0.0,766.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG019983.nogap.dedup/VFG019983.nogap.dedup.nt_ali.fasta,"Selected VFG002058: genome_count=11579, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6309, gap_fraction=0.3695, ambiguous_fraction=0.0000, protein_length=399"
PA0072,4,False,VFG015372,VFG015372(gb|WP_011979123),tagS,11573,99.6126699948356,11573,0,0.0,1866,622,0,0.3573235519085753,6.482916727212478e-07,0.357324200200248,400,0.6430868167202572,399,blastp_best_hit_to_PAO1,96.992,100.0,0.0,742.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015372.nogap.dedup/VFG015372.nogap.dedup.nt_ali.fasta,"Selected VFG002058: genome_count=11579, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6309, gap_fraction=0.3695, ambiguous_fraction=0.0000, protein_length=399"
PA0074,1,True,VFG015387,VFG015387(gb|WP_003136961),ppkA,11586,99.72456532966088,11586,0,0.0,5853,1951,0,0.4918382735026446,8.258020919867439e-07,0.49183909930473657,1033,0.5294720656073808,1032,blastp_best_hit_to_PAO1,99.419,100.0,0.0,2063.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015387.nogap.dedup/VFG015387.nogap.dedup.nt_ali.fasta,"Selected VFG015387: genome_count=11586, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.5295, gap_fraction=0.4918, ambiguous_fraction=0.0000, protein_length=1032"
PA0074,2,False,VFG019987,VFG019987(gb|WP_004351957),ppkA,11586,99.72456532966088,11586,0,0.0,5934,1978,0,0.49877436542167536,8.145297681830826e-07,0.49877517995144355,1033,0.5222446916076845,1032,blastp_best_hit_to_PAO1,99.612,100.0,0.0,2066.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG019987.nogap.dedup/VFG019987.nogap.dedup.nt_ali.fasta,"Selected VFG015387: genome_count=11586, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.5295, gap_fraction=0.4918, ambiguous_fraction=0.0000, protein_length=1032"
PA0074,3,False,VFG002060,VFG002060(gb|NP_248764),ppkA,11586,99.72456532966088,11586,0,0.0,6330,2110,0,0.5301304565159946,7.635734035384537e-07,0.5301312200893981,1033,0.4895734597156398,1032,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002060.nogap.dedup/VFG002060.nogap.dedup.nt_ali.fasta,"Selected VFG015387: genome_count=11586, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.5295, gap_fraction=0.4918, ambiguous_fraction=0.0000, protein_length=1032"
PA0074,4,False,VFG015386,VFG015386(gb|WP_011979125),ppkA,11586,99.72456532966088,11586,0,0.0,7164,2388,0,0.5848300423806124,6.746816924062552e-07,0.5848307170623048,1033,0.4325795644891122,1032,blastp_best_hit_to_PAO1,98.934,100.0,0.0,2052.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015386.nogap.dedup/VFG015386.nogap.dedup.nt_ali.fasta,"Selected VFG015387: genome_count=11586, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.5295, gap_fraction=0.4918, ambiguous_fraction=0.0000, protein_length=1032"
PA0077,1,True,VFG015404,VFG015404(gb|WP_003111851),icmF1/tssM1,11588,99.74177999655709,11588,0,0.0,4644,1548,0,0.23949110012228636,5.017219095937257e-07,0.23949160184419596,1177,0.7603359173126615,1177,blastp_best_hit_to_PAO1,99.546,93.62786745964316,0.0,2206.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015404.nogap.dedup/VFG015404.nogap.dedup.nt_ali.fasta,"Selected VFG015404: genome_count=11588, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7603, gap_fraction=0.2395, ambiguous_fraction=0.0000, protein_length=1177"
PA0077,2,False,VFG015403,VFG015403(gb|WP_011979127),icmF1/tssM1,11588,99.74177999655709,11588,0,0.0,4644,1548,0,0.23949110012228636,5.017219095937257e-07,0.23949160184419596,1177,0.7603359173126615,1176,blastp_best_hit_to_PAO1,99.092,93.62244897959184,0.0,2196.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015403.nogap.dedup/VFG015403.nogap.dedup.nt_ali.fasta,"Selected VFG015404: genome_count=11588, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7603, gap_fraction=0.2395, ambiguous_fraction=0.0000, protein_length=1177"
PA0077,3,False,VFG019993,VFG019993(gb|WP_024082388),icmF1/tssM1,11588,99.74177999655709,11588,0,0.0,4644,1548,0,0.23949110012228636,5.017219095937257e-07,0.23949160184419596,1177,0.7603359173126615,1176,blastp_best_hit_to_PAO1,99.728,93.62244897959184,0.0,2213.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG019993.nogap.dedup/VFG019993.nogap.dedup.nt_ali.fasta,"Selected VFG015404: genome_count=11588, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7603, gap_fraction=0.2395, ambiguous_fraction=0.0000, protein_length=1177"
PA0077,4,False,VFG002063,VFG002063(gb|NP_248767),icmF1/tssM1,11588,99.74177999655709,11588,0,0.0,4416,1472,0,0.25116359127133014,5.276260299260104e-07,0.25116411889736007,1102,0.748641304347826,1101,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002063.nogap.dedup/VFG002063.nogap.dedup.nt_ali.fasta,"Selected VFG015404: genome_count=11588, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7603, gap_fraction=0.2395, ambiguous_fraction=0.0000, protein_length=1177"
PA0078,1,True,VFG002064,VFG002064(gb|NP_248768),dotU1,11588,99.74177999655709,11588,0,0.0,1956,652,0,0.3102903151345479,7.941365194796394e-07,0.3102911092710674,450,0.6901840490797546,449,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002064.nogap.dedup/VFG002064.nogap.dedup.nt_ali.fasta,"Selected VFG002064: genome_count=11588, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6902, gap_fraction=0.3103, ambiguous_fraction=0.0000, protein_length=449"
PA0078,2,False,VFG015413,VFG015413(gb|WP_003115051),dotU1,11588,99.74177999655709,11588,0,0.0,1956,652,0,0.3102903151345479,7.941365194796394e-07,0.3102911092710674,450,0.6901840490797546,449,blastp_best_hit_to_PAO1,100.0,100.0,0.0,903.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015413.nogap.dedup/VFG015413.nogap.dedup.nt_ali.fasta,"Selected VFG002064: genome_count=11588, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6902, gap_fraction=0.3103, ambiguous_fraction=0.0000, protein_length=449"
