Accession,genome_count,freq,gene
VFG000122(gb|NP_252230),11617,99.9913926665519,algD
VFG000123(gb|NP_252231),11617,99.9913926665519,alg8
VFG000124(gb|NP_252232),11617,99.9913926665519,alg44
VFG000125(gb|NP_252233),11617,99.9913926665519,algK
VFG000126(gb|NP_252234),11617,99.9913926665519,algE
VFG000127(gb|NP_252235),11617,99.9913926665519,algG
VFG000128(gb|NP_252236),11617,99.9913926665519,algX
VFG000129(gb|NP_252237),11617,99.9913926665519,algL
VFG000130(gb|NP_252238),11617,99.9913926665519,algI
VFG000133(gb|NP_252241),11617,99.9913926665519,algA
VFG014748(gb|WP_003110461),11617,99.9913926665519,algD
VFG014759(gb|WP_074197298),11617,99.9913926665519,alg8
VFG014760(gb|WP_003138103),11617,99.9913926665519,alg8
VFG014771(gb|WP_012074769),11617,99.9913926665519,alg44
VFG014772(gb|WP_003092101),11617,99.9913926665519,alg44
VFG014783(gb|WP_012074768),11617,99.9913926665519,algK
VFG014784(gb|WP_003110463),11617,99.9913926665519,algK
VFG014796(gb|WP_012074767),11617,99.9913926665519,algE
VFG014797(gb|WP_003138101),11617,99.9913926665519,algE
VFG014808(gb|WP_012074766),11617,99.9913926665519,algG
VFG014809(gb|WP_003138099),11617,99.9913926665519,algG
VFG014820(gb|WP_012074765),11617,99.9913926665519,algX
VFG014821(gb|WP_003092107),11617,99.9913926665519,algX
VFG014833(gb|WP_003092108),11617,99.9913926665519,algL
VFG014844(gb|WP_012074763),11617,99.9913926665519,algI
VFG014845(gb|WP_003138085),11617,99.9913926665519,algI
VFG014881(gb|WP_012074761),11617,99.9913926665519,algA
VFG014882(gb|WP_003092113),11617,99.9913926665519,algA
VFG015000(gb|NP_252339),11617,99.9913926665519,mucP
VFG015002(gb|WP_003138017),11617,99.9913926665519,mucP
VFG015852(gb|NP_252009),11617,99.9913926665519,plcN
VFG015853(gb|WP_012074913),11617,99.9913926665519,plcN
VFG015854(gb|WP_003138281),11617,99.9913926665519,plcN
VFG019885(gb|WP_003119545),11617,99.9913926665519,alg8
VFG019887(gb|WP_003092101),11617,99.9913926665519,alg44
VFG019889(gb|WP_003110463),11617,99.9913926665519,algK
VFG019891(gb|WP_003110464),11617,99.9913926665519,algE
VFG019893(gb|WP_003110465),11617,99.9913926665519,algG
VFG019895(gb|WP_012613748),11617,99.9913926665519,algX
VFG019897(gb|WP_012613747),11617,99.9913926665519,algL
VFG019899(gb|WP_003110467),11617,99.9913926665519,algI
VFG019905(gb|WP_003092113),11617,99.9913926665519,algA
VFG019924(gb|WP_012613725),11617,99.9913926665519,mucP
VFG020045(gb|WP_012613840),11617,99.9913926665519,plcN
VFG041047(gb|NP_252174),11617,99.9913926665519,tse3
VFG051818(gb|WP_003092026.1),11617,99.9913926665519,tse3
VFG051821(gb|WP_003138171.1),11617,99.9913926665519,tse3
VFG000131(gb|NP_252239),11616,99.9827853331038,algJ
VFG001251(gb|NP_249792),11616,99.9827853331038,fliF
VFG014410(gb|WP_003109118),11616,99.9827853331038,fliF
VFG014747(gb|WP_003154318),11616,99.9827853331038,algD
VFG014858(gb|WP_003092111),11616,99.9827853331038,algJ
VFG015001(gb|WP_012074695),11616,99.9827853331038,mucP
VFG016058(gb|NP_251114),11616,99.9827853331038,pvdL
VFG016060(gb|WP_003139218),11616,99.9827853331038,pvdL
VFG019831(gb|WP_012614400),11616,99.9827853331038,fliF
VFG019901(gb|WP_003092111),11616,99.9827853331038,algJ
VFG020074(gb|WP_012614121),11616,99.9827853331038,pvdL
VFG051819(gb|WP_012074797.1),11616,99.9827853331038,tse3
VFG014409(gb|WP_012076711),11615,99.97417799965572,fliF
VFG014950(gb|NP_249457),11615,99.97417799965572,mucD
VFG014952(gb|WP_003140933),11615,99.97417799965572,mucD
VFG019916(gb|WP_009315254),11615,99.97417799965572,mucD
VFG000143(gb|NP_253699),11614,99.9655706662076,waaF
VFG001242(gb|NP_249775),11614,99.9655706662076,flgI
VFG014241(gb|WP_003082169),11614,99.9655706662076,flgI
VFG014951(gb|WP_012077033),11614,99.9655706662076,mucD
VFG019805(gb|WP_003082169),11614,99.9655706662076,flgI
VFG001222(gb|NP_253731),11613,99.95696333275951,pilM
VFG001228(gb|NP_249102),11613,99.95696333275951,pilJ
VFG013836(gb|WP_003110888),11613,99.95696333275951,pilM
VFG014043(gb|WP_012074000),11613,99.95696333275951,pilJ
VFG014044(gb|WP_003084592),11613,99.95696333275951,pilJ
VFG014857(gb|WP_003157810),11613,99.95696333275951,algJ
VFG019737(gb|WP_003110888),11613,99.95696333275951,pilM
VFG019768(gb|WP_003100940),11613,99.95696333275951,pilJ
VFG001223(gb|NP_249086),11612,99.94835599931142,pilT
VFG001224(gb|NP_249087),11612,99.94835599931142,pilU
VFG001263(gb|NP_250143),11612,99.94835599931142,flhA
VFG013898(gb|WP_003084552),11612,99.94835599931142,pilT
VFG013910(gb|WP_033999672),11612,99.94835599931142,pilU
VFG013911(gb|WP_003110016),11612,99.94835599931142,pilU
VFG014591(gb|WP_003155638),11612,99.94835599931142,flhA
VFG014592(gb|WP_003083059),11612,99.94835599931142,flhA
VFG019744(gb|WP_003084552),11612,99.94835599931142,pilT
VFG019859(gb|WP_003083059),11612,99.94835599931142,flhA
VFG042297(gb|NP_253799),11612,99.94835599931142,estA
VFG014062(gb|WP_004365046),11609,99.92253399896713,chpA
VFG000120(gb|NP_253949),11608,99.91392666551904,algZ
VFG000165(gb|NP_252915),11608,99.91392666551904,pchF
VFG014978(gb|WP_003096404),11608,99.91392666551904,algZ
VFG016117(gb|WP_012074237),11608,99.91392666551904,pchF
VFG016118(gb|WP_011666540),11608,99.91392666551904,pchF
VFG020089(gb|WP_012613543),11608,99.91392666551904,pchF
VFG002074(gb|NP_248778),11603,99.87088999827851,hsiG1/tssF
VFG002076(gb|NP_248780),11603,99.87088999827851,clpV1
VFG015473(gb|WP_011979136),11603,99.87088999827851,hsiG1/tssF
VFG015474(gb|WP_003083676),11603,99.87088999827851,hsiG1/tssF
VFG015491(gb|WP_011979138),11603,99.87088999827851,clpV1
VFG015492(gb|WP_003136970),11603,99.87088999827851,clpV1
VFG020014(gb|WP_003083676),11603,99.87088999827851,hsiG1/tssF
VFG020018(gb|WP_012613439),11603,99.87088999827851,clpV1
VFG002075(gb|NP_248779),11602,99.86228266483045,hsiH1/tssG
VFG020016(gb|WP_003104969),11602,99.86228266483045,hsiH1/tssG
VFG015483(gb|WP_003104969),11601,99.85367533138232,hsiH1/tssG
VFG041023(gb|NP_250356),11601,99.85367533138232,PA1665
VFG041025(gb|NP_250358),11601,99.85367533138232,tssK
VFG041027(gb|NP_250360),11601,99.85367533138232,tssM
VFG051567(gb|WP_003097790.1),11601,99.85367533138232,tssK
VFG051568(gb|WP_012076237.1),11601,99.85367533138232,tssK
VFG051570(gb|WP_003087620.1),11601,99.85367533138232,tssK
VFG051583(gb|WP_012614302.1),11601,99.85367533138232,tssM
VFG051584(gb|WP_012076236.1),11601,99.85367533138232,tssM
VFG051586(gb|WP_003140078.1),11601,99.85367533138232,tssM
VFG000181(gb|NP_251792),11595,99.80203133069377,xcpS
VFG001262(gb|NP_250140),11592,99.77620933034945,flhB
VFG014579(gb|WP_003083056),11592,99.77620933034945,flhB
VFG000173(gb|NP_252907),11589,99.75038733000515,phzS
VFG001252(gb|NP_249793),11589,99.75038733000515,fliG
VFG015550(gb|WP_003093633),11589,99.75038733000515,phzS
VFG020037(gb|WP_003093633),11589,99.75038733000515,phzS
VFG000182(gb|NP_251793),11588,99.74177999655709,xcpR
VFG002063(gb|NP_248767),11588,99.74177999655709,icmF1/tssM1
VFG002064(gb|NP_248768),11588,99.74177999655709,dotU1
VFG002070(gb|NP_248774),11588,99.74177999655709,hsiC1/vipB/tssC
VFG015403(gb|WP_011979127),11588,99.74177999655709,icmF1/tssM1
VFG015404(gb|WP_003111851),11588,99.74177999655709,icmF1/tssM1
VFG015413(gb|WP_003115051),11588,99.74177999655709,dotU1
VFG015447(gb|WP_003151425),11588,99.74177999655709,hsiC1/vipB/tssC
VFG015448(gb|WP_003111626),11588,99.74177999655709,hsiC1/vipB/tssC
VFG019993(gb|WP_024082388),11588,99.74177999655709,icmF1/tssM1
VFG019995(gb|WP_012613437),11588,99.74177999655709,dotU1
VFG020007(gb|WP_003104973),11588,99.74177999655709,hsiC1/vipB/tssC
VFG015549(gb|WP_012074243),11587,99.73317266310896,phzS
VFG002060(gb|NP_248764),11586,99.72456532966088,ppkA
VFG015386(gb|WP_011979125),11586,99.72456532966088,ppkA
VFG015387(gb|WP_003136961),11586,99.72456532966088,ppkA
VFG019987(gb|WP_004351957),11586,99.72456532966088,ppkA
VFG000157(gb|NP_249535),11584,99.70735066276468,plcH
VFG002065(gb|NP_248769),11584,99.70735066276468,hsiJ1
VFG015417(gb|WP_011979129),11584,99.70735066276468,hsiJ1
VFG015418(gb|WP_003115052),11584,99.70735066276468,hsiJ1
VFG015851(gb|WP_003140852),11584,99.70735066276468,plcH
VFG019997(gb|WP_003115052),11584,99.70735066276468,hsiJ1
VFG020044(gb|WP_012614438),11584,99.70735066276468,plcH
VFG014254(gb|WP_003116316),11582,99.69013599586847,flgJ
VFG014423(gb|WP_003082212),11582,99.69013599586847,fliG
VFG002057(gb|NP_248761),11581,99.68152866242038,tagR
VFG015365(gb|WP_011979122),11581,99.68152866242038,tagR
VFG015366(gb|WP_003083632),11581,99.68152866242038,tagR
VFG015412(gb|WP_011979128),11581,99.68152866242038,dotU1
VFG019981(gb|WP_003106615),11581,99.68152866242038,tagR
VFG000116(gb|NP_254170),11579,99.6643139955242,algB
VFG000168(gb|NP_252918),11579,99.6643139955242,pchD
VFG002058(gb|NP_248762),11579,99.6643139955242,tagS
VFG014893(gb|NP_254009),11579,99.6643139955242,algC
VFG014895(gb|WP_016254361),11579,99.6643139955242,algC
VFG014986(gb|WP_003094320),11579,99.6643139955242,algW
