Condition,Gene_file,Gene_mean_dnds,N_pairwise_values
Clade A vs. A reference,VFG000115.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.18273424914876127,8517
Clade A vs. A reference,VFG000116.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.008008861227508011,8114
Clade A vs. A reference,VFG000120.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02035191139692747,8397
Clade A vs. A reference,VFG000122.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,-0.012908188213585511,8671
Clade A vs. A reference,VFG000123.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02281164131501472,8152
Clade A vs. A reference,VFG000124.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.025361947004608296,8680
Clade A vs. A reference,VFG000125.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.11825797445015146,7593
Clade A vs. A reference,VFG000126.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.08578600074266618,8079
Clade A vs. A reference,VFG000127.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07497256527657468,8081
Clade A vs. A reference,VFG000128.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06225645519624783,8102
Clade A vs. A reference,VFG000129.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.050331937172774864,7067
Clade A vs. A reference,VFG000130.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0920338786551591,7763
Clade A vs. A reference,VFG000131.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03159442753453524,8542
Clade A vs. A reference,VFG000133.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04310436122303863,8438
Clade A vs. A reference,VFG000139.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.08729299139080879,8247
Clade A vs. A reference,VFG000141.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.12132632875291677,7714
Clade A vs. A reference,VFG000142.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03310567178618939,8269
Clade A vs. A reference,VFG000143.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03851011653855691,8066
Clade A vs. A reference,VFG000144.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07351840469208211,8525
Clade A vs. A reference,VFG000145.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.09886534530042383,8022
Clade A vs. A reference,VFG000146.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.012034965208747514,8048
Clade A vs. A reference,VFG000148.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.2934431349782294,6890
Clade A vs. A reference,VFG000155.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0974293966323667,8552
Clade A vs. A reference,VFG000157.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.21598438479869556,7973
Clade A vs. A reference,VFG000164.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.05768914328846396,7949
Clade A vs. A reference,VFG000165.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.18893145244363055,8737
Clade A vs. A reference,VFG000166.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.2589419362455726,8470
Clade A vs. A reference,VFG000168.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.19208464110832435,8373
Clade A vs. A reference,VFG000171.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.08329663746457097,7762
Clade A vs. A reference,VFG000172.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.024536072791312008,6814
Clade A vs. A reference,VFG000173.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04911540768077499,8671
Clade A vs. A reference,VFG000175.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06136238447319778,8656
Clade A vs. A reference,VFG000176.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0992214830678624,7471
Clade A vs. A reference,VFG000181.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.01494623576937202,8169
Clade A vs. A reference,VFG000182.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.023116315587897358,7833
Clade A vs. A reference,VFG000185.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06029511424404472,8228
Clade A vs. A reference,VFG000192.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.05039140441521841,8516
Clade A vs. A reference,VFG000198.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04654249970494512,8473
Clade A vs. A reference,VFG000203.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10743987190757252,7963
Clade A vs. A reference,VFG000211.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04878866489159376,7887
Clade A vs. A reference,VFG000212.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.1305722660318405,6721
Clade A vs. A reference,VFG001213.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0452735030970406,8718
Clade A vs. A reference,VFG001214.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03463286540049546,8477
Clade A vs. A reference,VFG001222.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.012394770408163265,8624
Clade A vs. A reference,VFG001223.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0013543158861340678,8712
Clade A vs. A reference,VFG001224.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.00811798799948934,7833
Clade A vs. A reference,VFG001228.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.018275454754777803,8686
Clade A vs. A reference,VFG001230.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.15294671029566434,8557
