Genome_ID,Clade,Niche,Genomovar_Cluster,Clone_Cluster
GCA_000259025.1,CladeA,CF,Cluster_103,Cluster_2034
GCA_000271985.2,CladeA,Terrestrial,Cluster_313,Cluster_2035
GCA_000359565.1,CladeA,Blood,Cluster_242,Cluster_2036
GCA_000412735.1,CladeA,Plant,Cluster_43,Cluster_2037
GCA_000480355.1,CladeA,CF,Cluster_43,Cluster_2038
GCA_000480375.1,CladeA,CF,Cluster_10,Cluster_2039
GCA_000480645.1,CladeB,Eye,Cluster_55,Cluster_2040
GCA_000480665.1,CladeA,Eye,Cluster_10,Cluster_2041
GCA_000480685.1,CladeA,Eye,Cluster_40,Cluster_2042
GCA_000480705.1,CladeB,Eye,Cluster_114,Cluster_2043
GCA_000480725.1,CladeB,Eye,Cluster_52,Cluster_2044
GCA_000480745.1,CladeB,Eye,Cluster_64,Cluster_153
GCA_000480765.1,CladeA,Eye,Cluster_40,Cluster_2045
GCA_000480785.1,CladeB,Eye,Cluster_145,Cluster_669
GCA_000480805.1,CladeB,Eye,Cluster_11,Cluster_2046
GCA_000480825.1,CladeB,Eye,Cluster_17,Cluster_781
GCA_000480845.1,CladeB,Eye,Cluster_314,Cluster_2047
GCA_000480865.1,CladeB,Eye,Cluster_11,Cluster_2048
GCA_000480885.1,CladeB,Eye,Cluster_57,Cluster_2049
GCA_000480925.1,CladeA,Eye,Cluster_43,Cluster_2050
GCA_000480945.1,CladeA,Eye,Cluster_20,Cluster_1671
GCA_000480965.1,CladeB,Eye,Cluster_64,Cluster_153
GCA_000480985.1,CladeB,Eye,Cluster_11,Cluster_2051
GCA_000481005.1,CladeA,Eye,Cluster_24,Cluster_2052
GCA_000481025.1,CladeA,Eye,Cluster_43,Cluster_2053
GCA_000481045.1,CladeA,Eye,Cluster_34,Cluster_2054
GCA_000481065.1,CladeB,Eye,Cluster_159,Cluster_2055
GCA_000481125.1,CladeA,Eye,Cluster_46,Cluster_2056
GCA_000481205.1,CladeA,Lung,Cluster_273,Cluster_2057
GCA_000481225.1,CladeA,Wound,Cluster_2,Cluster_1080
GCA_000481245.1,CladeA,Wound,Cluster_2,Cluster_2058
GCA_000481265.1,CladeA,Sputum,Cluster_60,Cluster_2059
GCA_000481285.1,CladeA,Sputum,Cluster_20,Cluster_2060
GCA_000481305.1,CladeA,Sputum,Cluster_23,Cluster_2061
GCA_000481325.1,CladeA,Wound,Cluster_20,Cluster_2062
GCA_000481345.1,CladeA,Wound,Cluster_315,Cluster_2063
GCA_000481365.1,CladeA,Urinary,Cluster_10,Cluster_2064
GCA_000481385.1,CladeA,Ear,Cluster_281,Cluster_2065
