locus_tag,representative_rank,selected_representative,VFG_ID,Accession,gene,genome_count,freq,n_sequences_total,n_sequences_usable,proportion_sequences_usable,alignment_length_nt,alignment_length_codons,trailing_non_codon_nt,gap_fraction,ambiguous_fraction,bad_character_fraction,usable_codon_count,usable_codon_fraction,protein_length,mapping_method,blast_hit_pident,blast_hit_qcov,blast_hit_evalue,blast_hit_bitscore,alignment_found,analysis_success,error_message,alignment_path,selection_reason
PA0026,1,True,VFG015856,VFG015856(gb|NP_248716),plcB,11100,95.54140127388536,11100,0,0.0,1347,449,0,0.2673171612592548,5.350562143435195e-07,0.26731769631546914,329,0.732739420935412,328,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015856.nogap.dedup/VFG015856.nogap.dedup.nt_ali.fasta,"Selected VFG015856: genome_count=11100, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7327, gap_fraction=0.2673, ambiguous_fraction=0.0000, protein_length=328"
PA0044,1,True,VFG015168,VFG015168(gb|WP_003136948),exoT,11530,99.2425546565674,11530,0,0.0,1884,628,0,0.2964129852337574,4.603517455617488e-07,0.296413445585503,442,0.7038216560509554,442,blastp_best_hit_to_PAO1,99.548,100.0,0.0,868.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015168.nogap.dedup/VFG015168.nogap.dedup.nt_ali.fasta,"Selected VFG015168: genome_count=11530, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7038, gap_fraction=0.2964, ambiguous_fraction=0.0000, protein_length=442"
PA0051,1,True,VFG015552,VFG015552(gb|WP_003111526),phzH,11490,98.89826131864348,11490,0,0.0,2757,919,0,0.3353928429035609,3.4724491152041816e-07,0.33539319014847246,611,0.6648531011969532,610,blastp_best_hit_to_PAO1,99.672,100.0,0.0,1244.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015552.nogap.dedup/VFG015552.nogap.dedup.nt_ali.fasta,"Selected VFG015552: genome_count=11490, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6649, gap_fraction=0.3354, ambiguous_fraction=0.0000, protein_length=610"
PA0071,1,True,VFG002057,VFG002057(gb|NP_248761),tagR,11581,99.68152866242038,11581,0,0.0,2484,828,0,0.31125047814865847,4.171416867624674e-07,0.3112508952903452,571,0.6896135265700483,570,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002057.nogap.dedup/VFG002057.nogap.dedup.nt_ali.fasta,"Selected VFG002057: genome_count=11581, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6896, gap_fraction=0.3113, ambiguous_fraction=0.0000, protein_length=570"
PA0072,1,True,VFG002058,VFG002058(gb|NP_248762),tagS,11579,99.6643139955242,11579,0,0.0,1902,634,0,0.369471764804281,1.271383189535354e-06,0.36947303618747057,400,0.6309148264984227,399,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002058.nogap.dedup/VFG002058.nogap.dedup.nt_ali.fasta,"Selected VFG002058: genome_count=11579, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6309, gap_fraction=0.3695, ambiguous_fraction=0.0000, protein_length=399"
PA0074,1,True,VFG015387,VFG015387(gb|WP_003136961),ppkA,11586,99.72456532966088,11586,0,0.0,5853,1951,0,0.4918382735026446,8.258020919867439e-07,0.49183909930473657,1033,0.5294720656073808,1032,blastp_best_hit_to_PAO1,99.419,100.0,0.0,2063.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015387.nogap.dedup/VFG015387.nogap.dedup.nt_ali.fasta,"Selected VFG015387: genome_count=11586, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.5295, gap_fraction=0.4918, ambiguous_fraction=0.0000, protein_length=1032"
PA0077,1,True,VFG015404,VFG015404(gb|WP_003111851),icmF1/tssM1,11588,99.74177999655709,11588,0,0.0,4644,1548,0,0.23949110012228636,5.017219095937257e-07,0.23949160184419596,1177,0.7603359173126615,1177,blastp_best_hit_to_PAO1,99.546,93.62786745964316,0.0,2206.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015404.nogap.dedup/VFG015404.nogap.dedup.nt_ali.fasta,"Selected VFG015404: genome_count=11588, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7603, gap_fraction=0.2395, ambiguous_fraction=0.0000, protein_length=1177"
PA0078,1,True,VFG002064,VFG002064(gb|NP_248768),dotU1,11588,99.74177999655709,11588,0,0.0,1956,652,0,0.3102903151345479,7.941365194796394e-07,0.3102911092710674,450,0.6901840490797546,449,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002064.nogap.dedup/VFG002064.nogap.dedup.nt_ali.fasta,"Selected VFG002064: genome_count=11588, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6902, gap_fraction=0.3103, ambiguous_fraction=0.0000, protein_length=449"
PA0079,1,True,VFG002065,VFG002065(gb|NP_248769),hsiJ1,11584,99.70735066276468,11584,0,0.0,1887,629,0,0.2926431062196418,7.319636828899098e-07,0.2926438381833247,445,0.7074721780604134,444,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002065.nogap.dedup/VFG002065.nogap.dedup.nt_ali.fasta,"Selected VFG002065: genome_count=11584, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7075, gap_fraction=0.2926, ambiguous_fraction=0.0000, protein_length=444"
PA0081,1,True,VFG002067,VFG002067(gb|NP_248771),fha1,11103,95.56722327422963,11103,0,0.0,4062,1354,0,0.6776586790188448,2.3503124784785655e-06,0.6776610293313233,369,0.2725258493353028,497,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002067.nogap.dedup/VFG002067.nogap.dedup.nt_ali.fasta,"Selected VFG002067: genome_count=11103, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.2725, gap_fraction=0.6777, ambiguous_fraction=0.0000, protein_length=497"
PA0082,1,True,VFG020003,VFG020003(gb|WP_003104975),hsiA1,11521,99.16508865553452,11521,0,0.0,1872,624,0,0.44802356454990777,3.7093171369709866e-07,0.44802393548162145,345,0.5528846153846154,344,blastp_best_hit_to_PAO1,98.837,100.0,0.0,656.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG020003.nogap.dedup/VFG020003.nogap.dedup.nt_ali.fasta,"Selected VFG020003: genome_count=11521, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.5529, gap_fraction=0.4480, ambiguous_fraction=0.0000, protein_length=344"
PA0084,1,True,VFG002070,VFG002070(gb|NP_248774),hsiC1/vipB/tssC,11588,99.74177999655709,11588,0,0.0,2052,684,0,0.27110975863314946,1.471913204558591e-06,0.271111230546354,499,0.72953216374269,498,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG002070.nogap.dedup/VFG002070.nogap.dedup.nt_ali.fasta,"Selected VFG002070: genome_count=11588, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7295, gap_fraction=0.2711, ambiguous_fraction=0.0000, protein_length=498"
PA0088,1,True,VFG015473,VFG015473(gb|WP_011979136),hsiG1/tssF,11603,99.87088999827851,11603,0,0.0,2415,805,0,0.23056245359547728,6.423697448132658e-07,0.2305630959652221,620,0.7701863354037267,619,blastp_best_hit_to_PAO1,98.061,100.0,0.0,1232.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015473.nogap.dedup/VFG015473.nogap.dedup.nt_ali.fasta,"Selected VFG015473: genome_count=11603, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7702, gap_fraction=0.2306, ambiguous_fraction=0.0000, protein_length=619"
