namespace,namespace_name,go_id,go_name,study_count,study_total,background_count,background_total,study_fraction,background_fraction,enrichment_ratio,odds_ratio,p_value,study_locus_tags,study_VFG_IDs,fdr_bh,significant_fdr,minus_log10_fdr
BP,Biological Process,GO:0017000,antibiotic biosynthetic process,2,30,2,158,0.06666666666666667,0.012658227848101266,5.266666666666667,inf,0.03507215996129968,PA2385;PA4226,VFG015950;VFG020090,0.04676287994839957,True,1.330098750136738
BP,Biological Process,GO:0044550,secondary metabolite biosynthetic process,2,30,2,158,0.06666666666666667,0.012658227848101266,5.266666666666667,inf,0.03507215996129968,PA4225;PA4226,VFG016117;VFG020090,0.04676287994839957,True,1.330098750136738
BP,Biological Process,GO:0072330,monocarboxylic acid biosynthetic process,2,30,2,158,0.06666666666666667,0.012658227848101266,5.266666666666667,inf,0.03507215996129968,PA4225;PA4226,VFG016117;VFG020090,0.04676287994839957,True,1.330098750136738
BP,Biological Process,GO:0015628,protein secretion by the type II secretion system,3,30,9,158,0.1,0.056962025316455694,1.7555555555555558,2.259259259259259,0.23127877662685098,PA0686;PA0844;PA3097,VFG000157;VFG000176;VFG040878,0.23127877662685098,False,0.6358642185771647
CC,Cellular Component,GO:0015627,type II protein secretion system complex,3,30,5,158,0.1,0.03164556962025317,3.16,7.0,0.047612586688720704,PA0686;PA3097;PA3115,VFG000176;VFG001230;VFG040878,0.19045034675488282,False,0.720218232277936
CC,Cellular Component,GO:0005737,cytoplasm,3,30,9,158,0.1,0.056962025316455694,1.7555555555555558,2.259259259259259,0.23127877662685098,PA0686;PA2385;PA4225,VFG015950;VFG016117;VFG040878,0.3083717021691346,False,0.5109254819688648
CC,Cellular Component,GO:0005886,plasma membrane,3,30,9,158,0.1,0.056962025316455694,1.7555555555555558,2.259259259259259,0.23127877662685098,PA0686;PA3097;PA3115,VFG000176;VFG001230;VFG040878,0.3083717021691346,False,0.5109254819688648
CC,Cellular Component,GO:0005576,extracellular region,2,30,6,158,0.06666666666666667,0.0379746835443038,1.7555555555555555,2.2142857142857144,0.31933507017333973,PA0044;PA1954,VFG015168;VFG050297,0.31933507017333973,False,0.495753383538886
MF,Molecular Function,GO:0016874,ligase activity,2,30,2,158,0.06666666666666667,0.012658227848101266,5.266666666666667,inf,0.03507215996129968,PA4225;PA4226,VFG016117;VFG020090,0.07014431992259935,False,1.1540074910810567
MF,Molecular Function,GO:0031177,phosphopantetheine binding,2,30,2,158,0.06666666666666667,0.012658227848101266,5.266666666666667,inf,0.03507215996129968,PA4225;PA4226,VFG016117;VFG020090,0.07014431992259935,False,1.1540074910810567
MF,Molecular Function,GO:0090729,toxin activity,2,30,3,158,0.06666666666666667,0.0189873417721519,3.511111111111111,9.071428571428571,0.09262647374394532,PA0044;PA0844,VFG000157;VFG015168,0.1235019649919271,False,0.9083261324580648
MF,Molecular Function,GO:0005524,ATP binding,2,30,11,158,0.06666666666666667,0.06962025316455696,0.9575757575757576,0.9444444444444444,0.6562936925119163,PA0686;PA5483,VFG000116;VFG040878,0.6562936925119163,False,0.18290176962763088
