Accession,Clade,genome_count,total_genomes,freq
VFG000111(gb|NP_253215),1,1552,8740,0.17757437070938215
VFG000111(gb|NP_253215),2,1033,2839,0.36386051426558647
VFG000112(gb|NP_253216),1,2007,8740,0.22963386727688787
VFG000112(gb|NP_253216),2,1163,2839,0.4096512856639662
VFG000113,1,1280,8740,0.14645308924485126
VFG000113,2,600,2839,0.2113420218386756
VFG000114(gb|NP_253218),1,8271,8740,0.9463386727688787
VFG000114(gb|NP_253218),2,2608,2839,0.9186333215921099
VFG000115(gb|NP_249839),1,8588,8740,0.9826086956521739
VFG000115(gb|NP_249839),2,2766,2839,0.9742867206762945
VFG000116(gb|NP_254170),1,8740,8740,1
VFG000116(gb|NP_254170),2,2839,2839,1
VFG000117(gb|NP_253940),1,7699,8740,0.8808924485125859
VFG000117(gb|NP_253940),2,1684,2839,0.5931666079605495
VFG000118(gb|NP_253942),1,8234,8740,0.9421052631578948
VFG000118(gb|NP_253942),2,2597,2839,0.9147587178584008
VFG000119(gb|NP_253948),1,8259,8740,0.9449656750572082
VFG000119(gb|NP_253948),2,2602,2839,0.9165199013737232
VFG000120(gb|NP_253949),1,8737,8740,0.9996567505720824
VFG000120(gb|NP_253949),2,2833,2839,0.9978865797816132
VFG000121(gb|NP_249453),1,8239,8740,0.9426773455377574
VFG000121(gb|NP_249453),2,2595,2839,0.9140542444522719
VFG000122(gb|NP_252230),1,8740,8740,1
VFG000122(gb|NP_252230),2,2839,2839,1
VFG000123(gb|NP_252231),1,8740,8740,1
VFG000123(gb|NP_252231),2,2839,2839,1
VFG000124(gb|NP_252232),1,8740,8740,1
VFG000124(gb|NP_252232),2,2839,2839,1
VFG000125(gb|NP_252233),1,8740,8740,1
VFG000125(gb|NP_252233),2,2839,2839,1
VFG000126(gb|NP_252234),1,8740,8740,1
VFG000126(gb|NP_252234),2,2839,2839,1
VFG000127(gb|NP_252235),1,8740,8740,1
VFG000127(gb|NP_252235),2,2839,2839,1
VFG000128(gb|NP_252236),1,8740,8740,1
VFG000128(gb|NP_252236),2,2839,2839,1
VFG000129(gb|NP_252237),1,8740,8740,1
VFG000129(gb|NP_252237),2,2839,2839,1
VFG000130(gb|NP_252238),1,8740,8740,1
VFG000130(gb|NP_252238),2,2839,2839,1
VFG000131(gb|NP_252239),1,8739,8740,0.9998855835240275
VFG000131(gb|NP_252239),2,2839,2839,1
VFG000132(gb|NP_252240),1,8242,8740,0.943020594965675
VFG000132(gb|NP_252240),2,2594,2839,0.9137020077492075
VFG000133(gb|NP_252241),1,8740,8740,1
VFG000133(gb|NP_252241),2,2839,2839,1
VFG000134(gb|NP_249454),1,8240,8740,0.9427917620137299
VFG000134(gb|NP_249454),2,2595,2839,0.9140542444522719
VFG000135(gb|NP_249455),1,8291,8740,0.9486270022883295
VFG000135(gb|NP_249455),2,2611,2839,0.9196900317013033
VFG000136(gb|NP_249456),1,8210,8740,0.9393592677345538
VFG000136(gb|NP_249456),2,2590,2839,0.9122930609369496
VFG000137(gb|NP_251850),1,1368,8740,0.1565217391304348
VFG000137(gb|NP_251850),2,64,2839,0.022543148996125396
VFG000138(gb|NP_251844),1,1368,8740,0.1565217391304348
VFG000138(gb|NP_251844),2,63,2839,0.022190912293060937
VFG000139(gb|NP_253697),1,8739,8740,0.9998855835240275
VFG000139(gb|NP_253697),2,2837,2839,0.9992955265938711
VFG000140(gb|NP_253696),1,8263,8740,0.9454233409610984
VFG000140(gb|NP_253696),2,2601,2839,0.9161676646706587
VFG000141(gb|NP_253675),1,8739,8740,0.9998855835240275
VFG000141(gb|NP_253675),2,2839,2839,1
VFG000142(gb|NP_253698),1,8739,8740,0.9998855835240275
VFG000142(gb|NP_253698),2,2837,2839,0.9992955265938711
VFG000143(gb|NP_253699),1,8739,8740,0.9998855835240275
VFG000143(gb|NP_253699),2,2837,2839,0.9992955265938711
VFG000144(gb|NP_249940),1,8729,8740,0.9987414187643021
VFG000144(gb|NP_249940),2,2837,2839,0.9992955265938711
VFG000145(gb|NP_250562),1,8736,8740,0.9995423340961098
VFG000145(gb|NP_250562),2,2836,2839,0.9989432898908066
VFG000146(gb|NP_252413),1,8739,8740,0.9998855835240275
VFG000146(gb|NP_252413),2,2836,2839,0.9989432898908066
VFG000147(gb|NP_252530),1,8561,8740,0.9795194508009153
VFG000147(gb|NP_252530),2,74,2839,0.02606551602676999
VFG000148(gb|NP_248734),1,8692,8740,0.994508009153318
VFG000148(gb|NP_248734),2,2838,2839,0.9996477632969355
VFG000150(gb|NP_250881),1,8456,8740,0.9675057208237986
VFG000150(gb|NP_250881),2,2421,2839,0.852765058119056
VFG000151(gb|NP_250121),1,8112,8740,0.9281464530892448
VFG000151(gb|NP_250121),2,2567,2839,0.9041916167664671
VFG000152(gb|NP_252167),1,8181,8740,0.9360411899313501
VFG000152(gb|NP_252167),2,2538,2839,0.8939767523775978
VFG000153(gb|NP_252166),1,8169,8740,0.9346681922196797
VFG000153(gb|NP_252166),2,2516,2839,0.8862275449101796
VFG000154(gb|NP_250123),1,8114,8740,0.9283752860411899
VFG000154(gb|NP_250123),2,2570,2839,0.9052483268756605
VFG000155(gb|NP_252168),1,8685,8740,0.9937070938215103
VFG000155(gb|NP_252168),2,2820,2839,0.9933075026417753
VFG000156(gb|NP_252169),1,8212,8740,0.9395881006864989
VFG000156(gb|NP_252169),2,2604,2839,0.9172243747798521
VFG000157(gb|NP_249535),1,8739,8740,0.9998855835240275
VFG000157(gb|NP_249535),2,2839,2839,1
VFG000159(gb|NP_251076),1,5375,8740,0.6149885583524027
VFG000159(gb|NP_251076),2,1237,2839,0.4357168016907362
VFG000160(gb|NP_251087),1,2946,8740,0.337070938215103
VFG000160(gb|NP_251087),2,1085,2839,0.38217682282493837
VFG000161(gb|NP_251089),1,2949,8740,0.3374141876430206
VFG000161(gb|NP_251089),2,1088,2839,0.38323353293413176
VFG000162(gb|NP_251116),1,8179,8740,0.935812356979405
VFG000162(gb|NP_251116),2,2570,2839,0.9052483268756605
VFG000163(gb|NP_251088),1,2945,8740,0.33695652173913043
VFG000163(gb|NP_251088),2,1085,2839,0.38217682282493837
VFG000164(gb|NP_252911),1,8724,8740,0.9981693363844394
VFG000164(gb|NP_252911),2,2836,2839,0.9989432898908066
VFG000165(gb|NP_252915),1,8738,8740,0.9997711670480549
VFG000165(gb|NP_252915),2,2832,2839,0.9975343430785488
VFG000166(gb|NP_252916),1,8740,8740,1
VFG000166(gb|NP_252916),2,2837,2839,0.9992955265938711
VFG000167(gb|NP_252917),1,8268,8740,0.9459954233409611
VFG000167(gb|NP_252917),2,2605,2839,0.9175766114829165
VFG000168(gb|NP_252918),1,8740,8740,1
VFG000168(gb|NP_252918),2,2839,2839,1
VFG000169(gb|NP_252919),1,8248,8740,0.9437070938215103
VFG000169(gb|NP_252919),2,2601,2839,0.9161676646706587
VFG000170(gb|NP_252920),1,8207,8740,0.9390160183066362
VFG000170(gb|NP_252920),2,2578,2839,0.9080662205001762
VFG000171(gb|NP_252921),1,8738,8740,0.9997711670480549
VFG000171(gb|NP_252921),2,2837,2839,0.9992955265938711
VFG000172(gb|NP_252898),1,8630,8740,0.9874141876430206
VFG000172(gb|NP_252898),2,2795,2839,0.9845015850651638
VFG000173(gb|NP_252907),1,8718,8740,0.9974828375286041
VFG000173(gb|NP_252907),2,2833,2839,0.9978865797816132
VFG000174(gb|NP_251785),1,8206,8740,0.9389016018306636
VFG000174(gb|NP_251785),2,2583,2839,0.9098274040154984
VFG000175(gb|NP_251786),1,8716,8740,0.997254004576659
VFG000175(gb|NP_251786),2,2837,2839,0.9992955265938711
VFG000176(gb|NP_251787),1,8491,8740,0.9715102974828376
VFG000176(gb|NP_251787),2,2692,2839,0.9482212046495245
VFG000177(gb|NP_251788),1,8225,8740,0.9410755148741419
VFG000177(gb|NP_251788),2,2595,2839,0.9140542444522719
VFG000178(gb|NP_251789),1,8198,8740,0.9379862700228833
VFG000178(gb|NP_251789),2,2583,2839,0.9098274040154984
VFG000179(gb|NP_251790),1,8223,8740,0.9408466819221968
VFG000179(gb|NP_251790),2,2585,2839,0.9105318774216273
VFG000180(gb|NP_251791),1,8222,8740,0.9407322654462242
VFG000180(gb|NP_251791),2,2585,2839,0.9105318774216273
VFG000181(gb|NP_251792),1,8723,8740,0.9980549199084668
VFG000181(gb|NP_251792),2,2838,2839,0.9996477632969355
VFG000182(gb|NP_251793),1,8739,8740,0.9998855835240275
VFG000182(gb|NP_251793),2,2838,2839,0.9996477632969355
VFG000183(gb|NP_251794),1,8247,8740,0.9435926773455378
VFG000183(gb|NP_251794),2,2596,2839,0.9144064811553364
VFG000184(gb|NP_251795),1,7951,8740,0.9097254004576659
VFG000184(gb|NP_251795),2,896,2839,0.31560408594575556
VFG000185(gb|NP_250381),1,8704,8740,0.9958810068649886
VFG000185(gb|NP_250381),2,2834,2839,0.9982388164846777
VFG000186(gb|NP_250382),1,8217,8740,0.9401601830663615
VFG000186(gb|NP_250382),2,2601,2839,0.9161676646706587
VFG000187(gb|NP_250383),1,8038,8740,0.9196796338672769
VFG000187(gb|NP_250383),2,2560,2839,0.9017259598450158
VFG000188(gb|NP_250384),1,8208,8740,0.9391304347826087
VFG000188(gb|NP_250384),2,2595,2839,0.9140542444522719
VFG000189(gb|NP_250385),1,8250,8740,0.9439359267734554
VFG000189(gb|NP_250385),2,2609,2839,0.9189855582951744
VFG000190(gb|NP_250386),1,7970,8740,0.9118993135011442
VFG000190(gb|NP_250386),2,2328,2839,0.8200070447340613
VFG000191(gb|NP_250387),1,8156,8740,0.9331807780320366
VFG000191(gb|NP_250387),2,2589,2839,0.9119408242338851
VFG000192(gb|NP_250388),1,8698,8740,0.9951945080091533
VFG000192(gb|NP_250388),2,2839,2839,1
VFG000193(gb|NP_250389),1,8219,8740,0.9403890160183066
VFG000193(gb|NP_250389),2,2604,2839,0.9172243747798521
VFG000194(gb|NP_250390),1,8050,8740,0.9210526315789473
VFG000194(gb|NP_250390),2,2566,2839,0.9038393800634026
