Accession,genome_count_A,genome_count_B,absent_count_A,absent_count_B,total_genomes_A,total_genomes_B,freq_A,freq_B,odds_ratio_A_vs_B,p_value,freq_difference_A_minus_B,absolute_freq_difference,freq_ratio,fdr_bh,significant_fdr,enriched_clade
VFG015165(gb|WP_003134060),198,2670,8542,169,8740,2839,0.02265446224256293,0.9404719971821064,0.0014437382439748568,0,-0.9178175349395434,0.9178175349395434,41.513763916018235,0,TRUE,Clade_B
VFG042211(gb|WP_003134054),195,2433,8545,406,8740,2839,0.02231121281464531,0.8569918985558295,0.0037908807134838874,0,-0.8346806857411841,0.8346806857411841,38.41081637629718,0,TRUE,Clade_B
VFG042704(gb|NP_249683),873,2522,7867,317,8740,2839,0.09988558352402746,0.8883409651285664,0.013959154237231628,0,-0.788455381604539,0.788455381604539,8.893585378263081,0,TRUE,Clade_B
VFG015860(gb|WP_003138138),1317,2439,7423,400,8740,2839,0.15068649885583524,0.8591053187742163,0.029112050525078557,0,-0.708418819918381,0.708418819918381,5.7012759955099845,0,TRUE,Clade_B
VFG015859(gb|NP_252177),1318,2439,7422,400,8740,2839,0.15080091533180778,0.8591053187742163,0.029138069035470743,0,-0.7083044034424084,0.7083044034424084,5.6969502929337255,0,TRUE,Clade_B
VFG051486(gb|WP_003140107.1),759,2134,7981,705,8740,2839,0.0868421052631579,0.7516731243395561,0.031435991476670803,0,-0.6648310190763982,0.6648310190763982,8.655629916637313,0,TRUE,Clade_B
VFG014985(gb|WP_012077206),80,1749,8660,1090,8740,2839,0.009153318077803204,0.6160619936597393,0.005759931321804444,0,-0.6069086755819362,0.6069086755819362,67.30477280732653,0,TRUE,Clade_B
VFG014056(gb|WP_003148852),1099,1564,7641,1275,8740,2839,0.12574370709382152,0.5508982035928144,0.1172861300983485,0,-0.42515449649899284,0.42515449649899284,4.381119471702636,0,TRUE,Clade_B
VFG016037(gb|WP_011062375),2301,1949,6439,890,8740,2839,0.26327231121281464,0.6865093342726312,0.16321348629997812,0,-0.42323702305981653,0.42323702305981653,2.6076017303532364,0,TRUE,Clade_B
VFG020073(gb|WP_043205221),715,1427,8025,1412,8740,2839,0.08180778032036613,0.5026417752729835,0.08820815446690687,0,-0.42083399495261736,0.42083399495261736,6.144180581658567,0,TRUE,Clade_B
VFG014292(gb|WP_012076715),3692,2387,5048,452,8740,2839,0.42242562929061783,0.8407890102148644,0.13851779007556247,0,-0.4183633809242466,0.4183633809242466,1.9903835182226206,0,TRUE,Clade_B
VFG041045(gb|NP_251063),5617,2777,3123,62,8740,2839,0.6426773455377575,0.9781613244100035,0.0401592859344012,0,-0.335483978872246,0.335483978872246,1.5220099653451007,0,TRUE,Clade_B
VFG051659(gb|WP_003139309.1),5633,2777,3107,62,8740,2839,0.6445080091533181,0.9781613244100035,0.04048107586946185,0,-0.3336533152566854,0.3336533152566854,1.517686840998301,0,TRUE,Clade_B
VFG051656(gb|WP_012614145.1),5635,2777,3105,62,8740,2839,0.6447368421052632,0.9781613244100035,0.04052153277696044,0,-0.3334244823047403,0.3334244823047403,1.5171481766359238,0,TRUE,Clade_B
VFG014175(gb|WP_003149706),459,1043,8281,1796,8740,2839,0.05251716247139588,0.3673828812962311,0.0954534450710344,0,-0.3148657188248352,0.3148657188248352,6.995482314878126,0,TRUE,Clade_B
VFG014253(gb|WP_012076724),208,943,8532,1896,8740,2839,0.02379862700228833,0.3321592109897851,0.04905466949633033,0,-0.3083605839874968,0.3083605839874968,13.957074538705395,0,TRUE,Clade_B
VFG016088(gb|WP_012075637),43,575,8697,2264,8740,2839,0.004919908466819222,0.20253610426206411,0.019473970977973203,2.4500034233969e-310,-0.1976161957952449,0.1976161957952449,41.16664072675443,1.813002533313715e-308,TRUE,Clade_B
VFG014074(gb|WP_012074002),1139,1140,7601,1699,8740,2839,0.1303203661327231,0.4015498414934836,0.22336196685187484,8.329506989662995e-197,-0.2712294753607605,0.2712294753607605,3.081251637096617,5.0283918511281344e-195,TRUE,Clade_B
VFG031373(gb|WP_015291324),329,610,8411,2229,8740,2839,0.03764302059496567,0.2148643888693202,0.142963514234004,3.953226737151757e-167,-0.17722136827435453,0.17722136827435453,5.707947594887108,2.2118785695185686e-165,TRUE,Clade_B
VFG031374(gb|WP_015294300),329,610,8411,2229,8740,2839,0.03764302059496567,0.2148643888693202,0.142963514234004,3.953226737151757e-167,-0.17722136827435453,0.17722136827435453,5.707947594887108,2.2118785695185686e-165,TRUE,Clade_B
VFG013784(gb|WP_016254080),627,795,8113,2044,8740,2839,0.07173913043478261,0.28002817893624515,0.19873629189731531,1.865118246178724e-164,-0.20828904850146254,0.20828904850146254,3.903423100323417,9.950188969148819e-163,TRUE,Clade_B
VFG015996(gb|WP_003122677),6391,2681,2349,158,8740,2839,0.7312356979405035,0.9443466009158155,0.16036064892418841,3.685894888017958e-155,-0.213110902975312,0.213110902975312,1.2914394135509664,1.7990303985347227e-153,TRUE,Clade_B
VFG015995(gb|WP_003148549),6389,2680,2351,159,8740,2839,0.7310068649885584,0.943994364212751,0.16124798392828027,1.0421580674698365e-154,-0.21298749922419258,0.21298749922419258,1.2913618317764037,4.879001238317969e-153,TRUE,Clade_B
VFG015994(gb|NP_251084),6391,2680,2349,159,8740,2839,0.7312356979405035,0.943994364212751,0.16143578264181468,1.7986591209800966e-154,-0.2127586662722475,0.2127586662722475,1.2909577129118202,8.090439261820277e-153,TRUE,Clade_B
VFG014136(gb|WP_011666598),20,271,8720,2568,8740,2839,0.002288329519450801,0.09545614653046848,0.02174110155820427,3.343127164388781e-142,-0.09316781701101767,0.09316781701101767,41.714336033814725,1.1619899568345247e-140,TRUE,Clade_B
VFG014138(gb|WP_003138473),20,271,8720,2568,8740,2839,0.002288329519450801,0.09545614653046848,0.02174110155820427,3.343127164388781e-142,-0.09316781701101767,0.09316781701101767,41.714336033814725,1.1619899568345247e-140,TRUE,Clade_B
VFG014144(gb|WP_003138479),20,271,8720,2568,8740,2839,0.002288329519450801,0.09545614653046848,0.02174110155820427,3.343127164388781e-142,-0.09316781701101767,0.09316781701101767,41.714336033814725,1.1619899568345247e-140,TRUE,Clade_B
VFG014140(gb|WP_016254249),19,269,8721,2570,8740,2839,0.002173913043478261,0.09475167312433956,0.02082154079532203,5.0088641205119975e-142,-0.0925777600808613,0.0925777600808613,43.5857696371962,1.7149752675305257e-140,TRUE,Clade_B
VFG014143(gb|WP_003138478),20,270,8720,2569,8740,2839,0.002288329519450801,0.09510390982740402,0.021830108940854107,1.3682318412071583e-141,-0.09281558030795321,0.09281558030795321,41.560408594575556,4.420737808069325e-140,TRUE,Clade_B
VFG014139(gb|WP_003138474),21,271,8719,2568,8740,2839,0.002402745995423341,0.09545614653046848,0.022830605848069407,3.5949866110725827e-141,-0.09305340053504514,0.09305340053504514,39.72793907982355,1.1454026785834034e-139,TRUE,Clade_B
VFG014137(gb|WP_003138472),21,270,8719,2569,8740,2839,0.002402745995423341,0.09510390982740402,0.02292407179890278,1.4661477731085398e-140,-0.09270116383198068,0.09270116383198068,39.58134151864339,4.484457322014654e-139,TRUE,Clade_B
VFG014142(gb|WP_016254248),21,270,8719,2569,8740,2839,0.002402745995423341,0.09510390982740402,0.02292407179890278,1.4661477731085398e-140,-0.09270116383198068,0.09270116383198068,39.58134151864339,4.484457322014654e-139,TRUE,Clade_B
VFG014146(gb|WP_003138482),21,270,8719,2569,8740,2839,0.002402745995423341,0.09510390982740402,0.02292407179890278,1.4661477731085398e-140,-0.09270116383198068,0.09270116383198068,39.58134151864339,4.484457322014654e-139,TRUE,Clade_B
VFG014145(gb|WP_003138480),18,259,8722,2580,8740,2839,0.002059496567505721,0.09122930609369496,0.020564660180528077,5.83970988020321e-137,-0.08916980952618925,0.08916980952618925,44.29689640327189,1.7626703243666005e-135,TRUE,Clade_B
VFG014141(gb|WP_003138476),17,257,8723,2582,8740,2839,0.0019450800915331808,0.09052483268756605,0.01958634780954681,8.29309339082063e-137,-0.08857975259603286,0.08857975259603286,46.54041398172513,2.4706956153951334e-135,TRUE,Clade_B
VFG016043(gb|WP_011666644),6361,2643,2379,196,8740,2839,0.7278032036613272,0.930961606199366,0.19830805939896853,8.001064413713425e-135,-0.20315840253803874,0.20315840253803874,1.2791391979535385,2.353133559622897e-133,TRUE,Clade_B
VFG015983(gb|NP_251083),3593,1884,5147,955,8740,2839,0.4110983981693364,0.6636139485734414,0.35388750646645745,3.2857284541368534e-122,-0.25251555040410495,0.25251555040410495,1.614246009054238,8.764489620685978e-121,TRUE,Clade_B
VFG015985(gb|WP_003103610),3600,1884,5140,955,8740,2839,0.41189931350114417,0.6636139485734414,0.35505972007709674,1.6659476896169163e-121,-0.2517146350722972,0.2517146350722972,1.611107197369966,4.392740229863455e-120,TRUE,Clade_B
VFG014708(gb|WP_003153718),5,204,8735,2635,8740,2839,5.720823798627002e-4,0.0718562874251497,0.007412974590112093,8.386048855503281e-119,-0.071284205045287,0.071284205045287,125.60479041916167,2.1615276488229804e-117,TRUE,Clade_B
VFG016042(gb|WP_161440564),5244,2287,3496,552,8740,2839,0.6,0.8055653399084185,0.36206700592553165,1.2179598389450943e-94,-0.20556533990841852,0.20556533990841852,1.3426088998473642,2.5171170004865282e-93,TRUE,Clade_B
VFG000111(gb|NP_253215),1552,1033,7188,1806,8740,2839,0.17757437070938215,0.36386051426558647,0.3775242629000675,1.2655359006358705e-88,-0.18628614355620432,0.18628614355620432,2.0490598548203773,2.5244690052684235e-87,TRUE,Clade_B
VFG015260(gb|WP_162885235),1,143,8739,2696,8740,2839,1.1441647597254005e-4,0.05036984853821768,0.002149283725983124,3.4897353958728567e-87,-0.05025543206224514,0.05025543206224514,440.2324762240225,6.842267519771226e-86,TRUE,Clade_B
VFG015261(gb|WP_004656243),1,143,8739,2696,8740,2839,1.1441647597254005e-4,0.05036984853821768,0.002149283725983124,3.4897353958728567e-87,-0.05025543206224514,0.05025543206224514,440.2324762240225,6.842267519771226e-86,TRUE,Clade_B
VFG043628,3,137,8737,2702,8740,2839,3.4324942791762013e-4,0.04825642831983093,0.006785735360951534,3.679532857580085e-80,-0.04791317889191331,0.04791317889191331,140.5870611717741,7.0931498952006e-79,TRUE,Clade_B
VFG042709(gb|WP_003141493),3,136,8737,2703,8740,2839,3.4324942791762013e-4,0.04790419161676647,0.006838303209713176,1.5240093857228979e-79,-0.04756094218884885,0.04756094218884885,139.56087824351297,2.9133979423736065e-78,TRUE,Clade_B
VFG025863(gb|WP_011546711),53,203,8687,2636,8740,2839,0.006064073226544622,0.07150405072208524,0.07925111227957521,1.1720627779637179e-77,-0.06543997749554062,0.06543997749554062,11.791422703981604,2.1859447257307064e-76,TRUE,Clade_B
VFG025866(gb|WP_012327704),53,203,8687,2636,8740,2839,0.006064073226544622,0.07150405072208524,0.07925111227957521,1.1720627779637179e-77,-0.06543997749554062,0.06543997749554062,11.791422703981604,2.1859447257307064e-76,TRUE,Clade_B
VFG042710(gb|WP_003141495),3,132,8737,2707,8740,2839,3.4324942791762013e-4,0.04649524480450863,0.007056572420761792,4.465295761069222e-77,-0.04615199537659101,0.04615199537659101,135.4561465304685,8.26079715797806e-76,TRUE,Clade_B
VFG025865(gb|WP_006493442),55,203,8685,2636,8740,2839,0.006292906178489702,0.07150405072208524,0.08226169988360894,1.5451182153127545e-76,-0.06521114454359554,0.06521114454359554,11.362643696564092,2.835600948741967e-75,TRUE,Clade_B
VFG042707(gb|WP_003141489),3,131,8737,2708,8740,2839,3.4324942791762013e-4,0.04614300810144417,0.007113231242009162,1.8453625532589968e-76,-0.04579975867352655,0.04579975867352655,134.42996360220735,3.3332769269103455e-75,TRUE,Clade_B
VFG042708(gb|WP_003141491),3,131,8737,2708,8740,2839,3.4324942791762013e-4,0.04614300810144417,0.007113231242009162,1.8453625532589968e-76,-0.04579975867352655,0.04579975867352655,134.42996360220735,3.3332769269103455e-75,TRUE,Clade_B
VFG000112(gb|NP_253216),2007,1163,6733,1676,8740,2839,0.22963386727688787,0.4096512856639662,0.4296036806349776,4.405177055283116e-74,-0.18001741838707833,0.18001741838707833,1.7839323551086521,7.833702453348425e-73,TRUE,Clade_B
VFG025876(gb|WP_011546712),250,347,8490,2492,8740,2839,0.028604118993135013,0.12222613596336739,0.21150718368027233,1.5864068410702467e-72,-0.09362201697023237,0.09362201697023237,4.273025713279323,2.736253604071538e-71,TRUE,Clade_B
VFG025878(gb|WP_012492267),250,347,8490,2492,8740,2839,0.028604118993135013,0.12222613596336739,0.21150718368027233,1.5864068410702467e-72,-0.09362201697023237,0.09362201697023237,4.273025713279323,2.736253604071538e-71,TRUE,Clade_B
VFG025879(gb|WP_012327703),250,347,8490,2492,8740,2839,0.028604118993135013,0.12222613596336739,0.21150718368027233,1.5864068410702467e-72,-0.09362201697023237,0.09362201697023237,4.273025713279323,2.736253604071538e-71,TRUE,Clade_B
VFG013775(gb|WP_003141354),1300,862,7440,1977,8740,2839,0.14874141876430205,0.3036280380415639,0.40078711511157267,7.961464209366084e-70,-0.15488661927726186,0.15488661927726186,2.0413146557563606,1.3629551415138652e-68,TRUE,Clade_B
VFG013937(gb|WP_003141555),1293,851,7447,1988,8740,2839,0.1479405034324943,0.2997534343078549,0.40566715062021885,1.2429990862382242e-67,-0.1518129308753606,0.1518129308753606,2.0261755729703417,2.0966469881106516e-66,TRUE,Clade_B
VFG013885(gb|WP_003141780),1300,854,7440,1985,8740,2839,0.14874141876430205,0.30081014441704823,0.40620083112319166,1.3218992600224266e-67,-0.15206872565274618,0.15206872565274618,2.0223697401576937,2.2134575930594504e-66,TRUE,Clade_B
