locus_tag,representative_rank,selected_representative,VFG_ID,Accession,gene,genome_count,freq,n_sequences_total,n_sequences_usable,proportion_sequences_usable,alignment_length_nt,alignment_length_codons,trailing_non_codon_nt,gap_fraction,ambiguous_fraction,bad_character_fraction,usable_codon_count,usable_codon_fraction,protein_length,mapping_method,blast_hit_pident,blast_hit_qcov,blast_hit_evalue,blast_hit_bitscore,alignment_found,analysis_success,error_message,alignment_path,selection_reason
PA0026,2,False,VFG015858,VFG015858(gb|WP_003097316),plcB,11048,95.09381993458426,11048,0,0.0,1347,449,0,0.2673174275766084,5.37574581753536e-07,0.26731796515119016,329,0.732739420935412,328,blastp_best_hit_to_PAO1,99.695,100.0,0.0,678.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015858.nogap.dedup/VFG015858.nogap.dedup.nt_ali.fasta,"Selected VFG015856: genome_count=11100, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7327, gap_fraction=0.2673, ambiguous_fraction=0.0000, protein_length=328"
PA0044,2,False,VFG000148,VFG000148(gb|NP_248734),exoT,11530,99.2425546565674,11530,0,0.0,1971,657,0,0.30311819738330686,4.4003180549890144e-07,0.30311863741511236,458,0.6971080669710806,457,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG000148.nogap.dedup/VFG000148.nogap.dedup.nt_ali.fasta,"Selected VFG015168: genome_count=11530, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7038, gap_fraction=0.2964, ambiguous_fraction=0.0000, protein_length=442"
PA0044,3,False,VFG019979,VFG019979(gb|WP_012613430),exoT,11530,99.2425546565674,11530,0,0.0,1971,657,0,0.30311819738330686,4.4003180549890144e-07,0.30311863741511236,458,0.6971080669710806,457,blastp_best_hit_to_PAO1,99.344,100.0,0.0,895.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG019979.nogap.dedup/VFG019979.nogap.dedup.nt_ali.fasta,"Selected VFG015168: genome_count=11530, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.7038, gap_fraction=0.2964, ambiguous_fraction=0.0000, protein_length=442"
PA0051,2,False,VFG015551,VFG015551(gb|NP_248741),phzH,11490,98.89826131864348,11490,0,0.0,2757,919,0,0.3353929376067186,3.4724491152041816e-07,0.33539328485163017,611,0.6648531011969532,610,direct_ncbi_record,,,,,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015551.nogap.dedup/VFG015551.nogap.dedup.nt_ali.fasta,"Selected VFG015552: genome_count=11490, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6649, gap_fraction=0.3354, ambiguous_fraction=0.0000, protein_length=610"
PA0051,3,False,VFG020038,VFG020038(gb|WP_012613433),phzH,11490,98.89826131864348,11490,0,0.0,2757,919,0,0.3353929376067186,3.4724491152041816e-07,0.33539328485163017,611,0.6648531011969532,610,blastp_best_hit_to_PAO1,99.836,100.0,0.0,1245.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG020038.nogap.dedup/VFG020038.nogap.dedup.nt_ali.fasta,"Selected VFG015552: genome_count=11490, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6649, gap_fraction=0.3354, ambiguous_fraction=0.0000, protein_length=610"
PA0071,2,False,VFG015365,VFG015365(gb|WP_011979122),tagR,11581,99.68152866242038,11581,0,0.0,2484,828,0,0.31125047814865847,4.171416867624674e-07,0.3112508952903452,571,0.6896135265700483,570,blastp_best_hit_to_PAO1,98.246,100.0,0.0,1137.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015365.nogap.dedup/VFG015365.nogap.dedup.nt_ali.fasta,"Selected VFG002057: genome_count=11581, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6896, gap_fraction=0.3113, ambiguous_fraction=0.0000, protein_length=570"
PA0071,3,False,VFG015366,VFG015366(gb|WP_003083632),tagR,11581,99.68152866242038,11581,0,0.0,2484,828,0,0.31125047814865847,4.171416867624674e-07,0.3112508952903452,571,0.6896135265700483,570,blastp_best_hit_to_PAO1,99.474,100.0,0.0,1150.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015366.nogap.dedup/VFG015366.nogap.dedup.nt_ali.fasta,"Selected VFG002057: genome_count=11581, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6896, gap_fraction=0.3113, ambiguous_fraction=0.0000, protein_length=570"
PA0071,4,False,VFG019981,VFG019981(gb|WP_003106615),tagR,11581,99.68152866242038,11581,0,0.0,2484,828,0,0.31125047814865847,4.171416867624674e-07,0.3112508952903452,571,0.6896135265700483,570,blastp_best_hit_to_PAO1,100.0,100.0,0.0,1157.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG019981.nogap.dedup/VFG019981.nogap.dedup.nt_ali.fasta,"Selected VFG002057: genome_count=11581, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6896, gap_fraction=0.3113, ambiguous_fraction=0.0000, protein_length=570"
PA0072,2,False,VFG015373,VFG015373(gb|WP_003136958),tagS,11579,99.6643139955242,11579,0,0.0,1902,634,0,0.369471764804281,1.271383189535354e-06,0.36947303618747057,400,0.6309148264984227,399,blastp_best_hit_to_PAO1,99.749,100.0,0.0,765.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG015373.nogap.dedup/VFG015373.nogap.dedup.nt_ali.fasta,"Selected VFG002058: genome_count=11579, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6309, gap_fraction=0.3695, ambiguous_fraction=0.0000, protein_length=399"
PA0072,3,False,VFG019983,VFG019983(gb|WP_003083634),tagS,11579,99.6643139955242,11579,0,0.0,1902,634,0,0.369471764804281,1.271383189535354e-06,0.36947303618747057,400,0.6309148264984227,399,blastp_best_hit_to_PAO1,100.0,100.0,0.0,766.0,True,True,,/data2/B_Li/vfdb/workflow_clade_translatorX_solved_dup_solved/final_aln/VFG019983.nogap.dedup/VFG019983.nogap.dedup.nt_ali.fasta,"Selected VFG002058: genome_count=11579, usable_sequences=0, usable_sequence_fraction=0.0000, usable_codon_fraction=0.6309, gap_fraction=0.3695, ambiguous_fraction=0.0000, protein_length=399"
